             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-17:24      -       -   0.1   8.8   0.0    0.0  17.9   1.6  14.0  18.6   4.0    41.1    32.0
07/17-17:25      -       -   1.0  12.9   0.0    0.0 153.2   2.4  14.0  18.6   4.0    17.2    46.5
07/17-17:26      -       -  12.3  19.6   0.0    0.0   1.5   2.6  14.1  18.6   4.0 515937.0 56690.9
07/17-17:27      -       -   9.3  28.1   0.0    0.0   1.7   2.4  14.1  18.6   4.0 582039.4 65707.5
07/17-17:28      -       -   8.5  33.5   0.0    0.0   2.0   4.4  14.1  18.6   4.0 578111.5 67128.7
07/17-17:29      -       -   8.7  50.2   0.0    0.0   2.2   1.7  14.1  18.6   4.0 588684.7 68332.4
07/17-17:30      -       -   8.6  50.4   0.0    0.0   2.4   1.1  14.1  18.6   4.0 587529.4 68574.6
07/17-17:31      -       -   8.4  50.5   0.0    0.0   2.6   1.6  14.1  18.6   4.0 585695.8 68041.3
07/17-17:32      -       -   8.1  50.5   0.0    0.0   2.9   2.7  14.1  18.6   4.0 586499.0 68119.8
07/17-17:33      -       -   8.2  50.5   0.0    0.0   3.0   1.6  14.1  18.6   4.0 585608.3 68307.4
07/17-17:34      -       -   7.8  50.6   0.0    0.0   3.0   5.1  14.1  18.6   4.0 584736.8 67869.6
07/17-17:35      -       -   7.8  50.6   0.0    0.0   3.1   1.3  14.1  18.6   4.0 577358.0 67289.2
07/17-17:36      -       -   7.6  50.7   0.0    0.0   3.1   1.4  14.1  18.6   4.0 586478.2 68357.9
07/17-17:37      -       -   7.7  50.8   0.0    0.0   3.2   2.2  14.1  18.6   4.0 591242.7 69464.2
07/17-17:38      -       -   7.6  50.9   0.0    0.0   3.2   1.7  14.1  18.6   4.0 587755.2 67965.0
07/17-17:39      -       -   7.9  50.9   0.0    0.0   3.2   5.3  14.0  18.6   4.0 590198.6 68445.2
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-17:40      -       -   7.7  51.0   0.0    0.0   3.2   1.4  14.0  18.6   4.0 588131.2 67973.7
07/17-17:41      -       -   7.6  51.0   0.0    0.0   3.2   1.1  14.0  18.6   4.0 589847.4 68820.2
07/17-17:42      -       -   7.8  51.0   0.0    0.0   3.1   1.9  14.0  18.6   4.0 588143.0 69032.1
07/17-17:43      -       -   7.9  51.0   0.0    0.0   3.0   1.7  14.0  18.6   4.0 592585.1 70715.5
