             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-13:08      -       -   0.1   2.4   0.0    0.0  10.5   1.6  12.4  18.6   0.7   287.8   196.8
07/17-13:09      -       -   0.0   2.4   0.0    0.0  57.2   1.6  12.4  18.6   0.7     3.0     4.9
07/17-13:10      -       -   0.5   2.5   0.0    0.0 120.1   2.2  12.4  18.6   0.7     8.5    17.5
07/17-13:11      -       -  28.6   7.1   0.0    0.0  50.9   5.4  12.4  18.6   0.7 362508.2 46109.0
07/17-13:12      -       -  44.7  11.8   0.0    0.0  65.4   1.3  12.4  18.6   0.7 574909.1 58232.1
07/17-13:13      -       -  44.4  14.4   0.0    0.0  68.8   2.1  12.4  18.6   0.7 569930.1 55550.9
07/17-13:14      -       -  44.3  18.5   0.0    0.0  68.5   1.8  12.4  18.6   0.7 574328.6 55876.7
07/17-13:15      -       -  44.1  20.2   0.0    0.0  67.6   3.0  12.4  18.6   0.7 574744.1 56827.8
07/17-13:16      -       -  44.6  23.5   0.0    0.0  67.0   6.0  12.4  18.6   0.7 569467.0 56332.3
07/17-13:17      -       -  44.5  25.8   0.0    0.0  67.5   1.9  12.4  18.6   0.7 580722.6 57057.6
07/17-13:18      -       -  43.8  27.4   0.0    0.0  67.3   2.2  12.4  18.6   0.7 580050.8 57698.9
07/17-13:19      -       -  44.3  29.4   0.0    0.0  67.2   1.5  12.4  18.6   0.7 577608.8 57516.5
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-13:20      -       -  44.5  31.7   0.0    0.0  67.6   2.4  12.4  18.6   0.7 579249.5 57109.8
07/17-13:21      -       -  44.4  33.9   0.0    0.0  67.8   5.0  12.4  18.6   0.7 569343.3 55917.5
07/17-13:22      -       -  43.2  36.0   0.0    0.0  68.2   2.1  12.4  18.6   0.7 582204.4 57426.4
07/17-13:23      -       -  43.6  38.2   0.0    0.0  68.6   1.6  12.4  18.6   0.7 575894.3 56480.9
07/17-13:24      -       -  44.3  40.5   0.0    0.0  67.7   1.9  12.4  18.6   0.7 578323.7 57606.2
07/17-13:25      -       -  43.8  42.6   0.0    0.0  68.3   2.2  12.4  18.6   0.7 577345.0 56727.1
07/17-13:26      -       -  43.7  42.8   0.0    0.0  67.8   2.1  12.4  18.6   0.7 580333.4 57685.4
07/17-13:27      -       -  44.3  44.6   0.0    0.0  68.5   5.2  12.4  18.6   0.7 569180.1 55263.1
07/17-13:28      -       -  44.2  47.1   0.0    0.0  69.2   1.7  12.4  18.6   0.7 575149.8 55681.1
07/17-13:29      -       -  43.6  47.2   0.0    0.0  68.6   1.5  12.4  18.6   0.7 579795.0 57118.2
07/17-13:30      -       -  43.5  48.9   0.0    0.0  69.1   1.8  12.4  18.6   0.7 578620.7 55996.1
07/17-13:31      -       -  43.7  49.1   0.0    0.0  68.8   2.0  12.4  18.6   0.7 582348.3 56718.4
07/17-13:32      -       -  43.8  51.4   0.0    0.0  69.4   5.1  12.4  18.6   0.7 581397.2 55985.6
07/17-13:33      -       -  43.6  53.4   0.0    0.0  68.3   1.8  12.4  18.6   0.7 569601.1 56209.2
07/17-13:34      -       -  43.6  53.6   0.0    0.0  67.6   2.0  12.4  18.6   0.7 581953.6 57686.4
07/17-13:35      -       -  43.9  53.9   0.0    0.0  69.2   2.4  12.5  18.6   0.7 578328.5 56168.1
07/17-13:36      -       -  43.8  54.1   0.0    0.0  72.1   2.5  12.5  18.6   0.7 582355.0 54928.7
07/17-13:37      -       -  44.0  54.2   0.0    0.0  71.0   5.1  12.5  18.6   0.7 566528.5 53691.8
07/17-13:38      -       -  43.7  54.0   0.0    0.0  71.2   2.0  12.4  18.6   0.7 578214.6 55080.2
07/17-13:39      -       -  43.2  53.9   0.0    0.0  71.6   1.3  12.4  18.6   0.7 576654.1 54859.7
07/17-13:40      -       -  43.7  54.1   0.0    0.0  70.5   2.0  12.4  18.6   0.7 581215.4 55191.4
07/17-13:41      -       -  13.8  54.1   0.0    0.0  79.1   1.7  12.4  18.6   0.7 188685.0 18237.5
07/17-13:42      -       -   2.7  54.1   0.0    0.0 4673.1   2.2  12.4  18.6   0.7    69.9    90.3
07/17-13:43      -       -   1.2   2.4   0.0    0.0 1580.5   4.9  12.4  18.6   0.7    29.6    53.9
07/17-13:44      -       -   0.0   2.4   0.0    0.0  52.6   1.7  12.4  18.6   0.7     2.5     5.6
07/17-13:45      -       -   0.1   2.4   0.0    0.0  57.6   1.4  12.4  18.6   0.7     6.7    10.1
07/17-13:46      -       -   0.0   2.4   0.0    0.0  51.2   1.0  12.4  18.6   0.7     3.8     5.9
07/17-13:47      -       -   0.1   2.4   0.0    0.0  52.6   1.6  12.4  18.6   0.7     4.0     7.6
07/17-13:48      -       -   0.1   2.4   0.0    0.0  66.3   4.2  12.4  18.6   0.7     1.0     5.0
07/17-13:49      -       -   0.1   2.4   0.0    0.0   9.9   1.6  12.4  18.6   0.7   289.2   193.7
07/17-13:50      -       -   0.0   2.4   0.0    0.0  47.6   1.2  12.4  18.6   0.7     6.3    10.8
07/17-13:51      -       -   0.0   2.4   0.0    0.0  54.1   1.2  12.4  18.6   0.7     3.3     6.9
07/17-13:52      -       -   0.0   2.4   0.0    0.0  56.0   1.2  12.4  18.6   0.7     3.8     6.9
07/17-13:53      -       -   0.1   2.4   0.0    0.0  68.3   4.4  12.4  18.6   0.7     2.8     6.7
07/17-13:54      -       -   0.0   2.4   0.0    0.0  38.9   1.3  12.4  18.6   0.7     4.5     7.1
07/17-13:55      -       -   0.1   2.4   0.0    0.0  44.0   1.5  12.4  18.6   0.7    17.0    16.6
07/17-13:56      -       -   0.2   2.4   0.0    0.0 124.0   1.4  12.4  18.6   0.7     5.6    13.8
07/17-13:57      -       -  15.8   5.0   0.0    0.0  47.4   1.8  12.4  18.6   0.7 239810.8 34829.2
07/17-13:58      -       -  40.5   8.4   0.0    0.0  62.7   2.0  12.4  18.6   0.7 584519.9 62292.7
07/17-13:59      -       -  40.5  10.8   0.0    0.0  67.9   5.2  12.4  18.6   0.7 574074.5 56814.9
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-14:00      -       -  40.0  12.8   0.0    0.0  68.7   2.0  12.4  18.6   0.7 578745.3 57279.8
07/17-14:01      -       -  39.6  14.1   0.0    0.0  68.7   1.7  12.4  18.6   0.7 577298.1 57546.3
07/17-14:02      -       -  39.6  15.4   0.0    0.0  68.0   1.6  12.4  18.6   0.7 578614.0 57794.4
07/17-14:03      -       -  40.0  16.4   0.0    0.0  67.4   1.7  12.4  18.6   0.7 580998.3 58253.6
07/17-14:04      -       -  39.7  17.5   0.0    0.0  67.8   5.4  12.4  18.6   0.7 578349.2 58055.5
07/17-14:05      -       -  39.6  18.5   0.0    0.0  67.9   2.2  12.4  18.6   0.7 571244.9 57416.9
07/17-14:06      -       -  39.4  19.7   0.0    0.0  68.8   1.6  12.4  18.6   0.7 577756.1 57639.9
07/17-14:07      -       -  39.6  20.8   0.0    0.0  68.0   1.9  12.4  18.6   0.7 581781.7 58429.1
07/17-14:08      -       -  39.5  21.6   0.0    0.0  67.7   3.1  12.4  18.6   0.7 578719.9 58483.8
07/17-14:09      -       -  39.1  22.2   0.0    0.0  67.6   5.9  12.4  18.6   0.7 579967.5 58971.5
07/17-14:10      -       -  40.0  23.4   0.0    0.0  67.9   3.2  12.4  18.6   0.7 578387.2 58100.7
07/17-14:11      -       -  40.0  24.3   0.0    0.0  67.1   2.5  12.4  18.6   0.7 581383.2 58570.8
07/17-14:12      -       -  39.8  25.4   0.0    0.0  67.3   1.7  12.4  18.6   0.7 581052.7 58760.1
07/17-14:13      -       -  39.8  26.6   0.0    0.0  68.2   1.4  12.4  18.6   0.7 578171.3 57922.4
07/17-14:14      -       -  39.1  27.5   0.0    0.0  68.9   4.9  12.4  18.6   0.7 567997.7 56663.8
07/17-14:15      -       -  39.2  28.2   0.0    0.0  68.0   2.4  12.4  18.6   0.7 582369.4 58723.4
07/17-14:16      -       -  39.7  29.4   0.0    0.0  67.4   1.5  12.4  18.6   0.7 583115.6 58867.8
07/17-14:17      -       -  39.1  30.0   0.0    0.0  68.3   1.4  12.4  18.6   0.7 581141.6 58139.0
07/17-14:18      -       -  39.3  30.1   0.0    0.0  68.4   2.0  12.4  18.6   0.7 583560.2 58375.5
07/17-14:19      -       -  39.5  30.0   0.0    0.0  67.7   2.0  12.4  18.6   0.7 581744.1 58796.3
